,name,rating,rating_count,industry,reviews,salaries,interviews,jobs,benefits,photos
43,Digitide Solutions,3.5,(10.2k),IT Services & Consulting | Hyderabad +270 other locations,10.2k,26.8k,566,334,772,47
44,Mphasis,3.3,(10.1k),IT Services & Consulting | Bengaluru +64 other locations,10.1k,73.8k,924,49,845,132
45,Yes Bank,3.7,(10k),Banking | Mumbai +542 other locations,10k,43.1k,552,193,608,18
46,Tata Steel,4.0,(9.8k),Iron & Steel | Jamshedpur +229 other locations,9.8k,34.2k,1.1k,--,659,52
47,Quess,3.8,(9.6k),Recruitment | Bengaluru +743 other locations,9.6k,31.1k,539,42,440,22
48,Maruti Suzuki,4.2,(9.5k),Automobile | Gurugram +455 other locations,9.5k,28.1k,780,766,1.1k,25
49,Asian Paints,3.9,(9.4k),Chemicals | Mumbai +553 other locations,9.4k,25.9k,847,69,884,36
50,Startek,3.1,(9.4k),BPO | Bengaluru +103 other locations,9.4k,24.6k,631,171,681,16
51,UltraTech Cement,4.1,(9.3k),Building Material | Mumbai +541 other locations,9.3k,24.7k,792,25,619,46
52,Paytm,3.2,(9.2k),FinTech | Noida +419 other locations,9.2k,34.5k,887,835,582,24
53,Bajaj Finance,3.9,(9k),NBFC | Pune +978 other locations,9k,23.2k,435,8k,502,15
54,Shriram Finance,4.0,(9k),NBFC | Chennai +1113 other locations,9k,15.2k,444,27,21,44
55,Sutherland Global Services,3.4,(8.9k),BPO | Chennai +84 other locations,8.9k,35k,790,256,902,30
56,Equitas Small Finance Bank,4.4,(8.8k),Banking | Chennai +481 other locations,8.8k,13.3k,1k,25,397,43
57,Cipla,4.1,(8.5k),Pharma | Mumbai +294 other locations,8.5k,26.5k,594,66,857,20
58,EXL Service,3.6,(8.5k),Analytics & KPO | Noida +61 other locations,8.5k,44.5k,898,64,799,20
59,Wells Fargo,3.6,(8.5k),Financial Services | Bengaluru +27 other locations,8.5k,56.9k,684,441,855,13
60,Ericsson,3.9,(8.3k),Telecom | Noida +163 other locations,8.3k,42.3k,472,29,998,17
61,Samsung,3.9,(8.3k),Consumer Electronics & Appliances | Noida +585 other locations,8.3k,26.5k,627,23,520,16
62,Dr. Reddy's,4.0,(8.1k),Pharma | Hyderabad +215 other locations,8.1k,26k,507,14,740,28
63,Optum Global Solutions,4.0,(7.8k),IT Services & Consulting | Hyderabad +68 other locations,7.8k,49.6k,761,112,686,1
64,Delhivery,3.8,(7.7k),Logistics | Gurugram +761 other locations,7.7k,21.4k,607,161,656,70
65,JPMorgan Chase & Co.,3.8,(7.7k),Financial Services | Bengaluru +55 other locations,7.7k,88.2k,868,973,846,14
66,JSW Steel,3.9,(7.7k),Iron & Steel | Ballari +194 other locations,7.7k,31.2k,815,131,602,32
67,ICICI Prudential Life Insurance,3.9,(7.7k),Insurance | Mumbai +506 other locations,7.7k,23.3k,479,200,625,13
68,Hexaware Technologies,3.4,(7.6k),IT Services & Consulting | Chennai +69 other locations,7.6k,54.2k,825,490,547,30
69,HGS,3.7,(7.5k),BPO | Bengaluru +122 other locations,7.5k,20.7k,274,24,968,32
70,Jana Small Finance Bank,3.8,(7.5k),Banking | Bengaluru +419 other locations,7.5k,14.4k,307,46,623,17
71,Ujjivan Small Finance Bank,4.0,(7.5k),Banking | Bengaluru +536 other locations,7.5k,13.3k,321,617,579,26
72,Sun Pharmaceutical Industries,4.1,(7.5k),Pharma | Vadodara +264 other locations,7.5k,23.6k,665,321,594,17
73,Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad +146 other locations,7.4k,38.6k,885,4,360,12
74,Lupin,4.1,(7.3k),Pharma | Pune +204 other locations,7.3k,22.6k,443,24,764,11
75,Ekart Logistics,3.9,(7.3k),Logistics | Bengaluru +742 other locations,7.3k,16k,407,--,422,75
76,Zydus Lifesciences,4.0,(7.3k),Pharma | Ahmedabad +178 other locations,7.3k,20k,441,42,605,21
77,L&T Construction,4.0,(7.2k),Engineering & Construction | Chennai +433 other locations,7.2k,19.3k,947,--,929,37
78,Hindustan Unilever,4.2,(7.2k),FMCG | Mumbai +540 other locations,7.2k,20.4k,466,46,704,6
79,KPMG India,3.4,(7.1k),Management Consulting | Bengaluru +112 other locations,7.1k,65.9k,930,88,749,6
80,ITC,3.9,(7.1k),FMCG | Bengaluru +377 other locations,7.1k,24.7k,694,78,638,14
81,Axis Max Life Insurance,4.0,(7k),Insurance | New Delhi +500 other locations,7k,19.9k,406,161,495,8
82,Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction | Hyderabad +406 other locations,6.8k,18.5k,565,34,539,39
83,Tata Projects,4.2,(6.8k),Engineering & Construction | Mumbai +287 other locations,6.8k,22.6k,599,69,540,59
84,Coforge,3.3,(6.7k),IT Services & Consulting | Noida +103 other locations,6.7k,49.9k,711,160,273,102
85,Bajaj Life Insurance,3.8,(6.5k),Insurance | Pune +616 other locations,6.5k,17.3k,444,74,474,17
86,L&T Technology Services,3.1,(6.5k),IT Services & Consulting | Bengaluru +93 other locations,6.5k,43.2k,629,--,444,11
87,Cholamandalam Investment & Finance,3.8,(6.5k),Financial Services | Chennai +852 other locations,6.5k,12.7k,282,35,293,41
88,FIS,3.8,(6.5k),FinTech | Pune +60 other locations,6.5k,38.7k,536,131,721,17
89,Oracle,3.5,(6.3k),Software Product | Bengaluru +56 other locations,6.3k,63.1k,949,311,617,39
90,Omega Healthcare,3.8,(6.3k),BPO | Chennai +69 other locations,6.3k,26.8k,549,165,391,26
91,Muthoot Finance,3.7,(6.3k),NBFC | Bengaluru +789 other locations,6.3k,13.1k,352,146,325,12
92,IIFL Finance,4.0,(6.3k),NBFC | Mumbai +804 other locations,6.3k,14.1k,327,63,399,18
93,JLL,4.1,(6.3k),Real Estate | Gurugram +85 other locations,6.3k,24.5k,483,364,539,21
94,Indian Army,4.7,(6.2k),Defence & Aerospace | New Delhi +363 other locations,6.2k,9.3k,204,--,728,8
95,eClerx,3.1,(6.2k),IT Services & Consulting | Pune +32 other locations,6.2k,32.4k,637,433,555,26
96,HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations,6.1k,39.5k,519,--,661,1
97,DMart,3.9,(6k),Retail | Mumbai +247 other locations,6k,18.5k,549,182,470,17
98,Virtusa Consulting Services,3.7,(6k),IT Services & Consulting | Hyderabad +55 other locations,6k,56.9k,673,1.2k,318,23
99,Piramal Finance,4.2,(6k),NBFC | Mumbai +424 other locations,6k,12k,294,8,445,4
100,Indiamart Intermesh,3.5,(5.9k),Internet | Noida +173 other locations,5.9k,21.5k,752,149,432,17
101,HSBC Group,3.9,(5.9k),Financial Services | Bengaluru +63 other locations,5.9k,43.7k,547,127,1.1k,26
102,PolicyBazaar,3.8,(5.9k),Internet | Gurugram +150 other locations,5.9k,17.4k,628,661,231,27
103,SMFG India Credit,3.9,(5.8k),NBFC | Mumbai +596 other locations,5.8k,11k,208,66,348,18
104,Access Healthcare,3.7,(5.8k),BPO | Chennai +63 other locations,5.8k,28.8k,400,1.6k,347,9
105,BigBasket,3.9,(5.8k),Internet | Bengaluru +142 other locations,5.8k,19.3k,486,79,381,36
106,Aurobindo Pharma,4.0,(5.7k),Pharma | Hyderabad +115 other locations,5.7k,20.7k,289,24,468,9
107,Siemens,3.9,(5.7k),Industrial Automation | Bengaluru +155 other locations,5.7k,34.1k,506,80,632,13
108,Udaan,3.9,(5.7k),Internet | Bengaluru +367 other locations,5.7k,15.7k,373,9,755,16
109,GlobalLogic,3.5,(5.7k),IT Services & Consulting | Hyderabad +61 other locations,5.7k,41.3k,681,39,515,21
110,Manappuram Finance,3.9,(5.7k),NBFC | Bengaluru +657 other locations,5.7k,9.3k,223,11,260,35
111,Firstsource Solutions,3.5,(5.7k),BPO | Bengaluru +74 other locations,5.7k,24.6k,364,144,570,13
112,Tata Capital,4.0,(5.7k),NBFC | Mumbai +446 other locations,5.7k,15.8k,271,4.4k,257,23
113,ICICI Lombard General Insurance Company,3.5,(5.7k),Insurance | Mumbai +317 other locations,5.7k,20.3k,356,185,366,15
114,Shapoorji Pallonji Group,4.1,(5.6k),Engineering & Construction | Mumbai +190 other locations,5.6k,15.3k,426,67,632,14
115,Standard Chartered,3.6,(5.6k),Banking | Chennai +67 other locations,5.6k,42k,322,--,305,--
116,UST,3.7,(5.6k),IT Services & Consulting | Bengaluru +51 other locations,5.6k,39.9k,590,128,408,16
117,Apollo Hospitals,4.1,(5.6k),Healthcare | Chennai +228 other locations,5.6k,16.7k,485,186,507,2
118,Mahindra Finance,3.9,(5.6k),NBFC | Mumbai +736 other locations,5.6k,12.1k,220,495,507,12
119,Bosch Global Software Technologies,3.7,(5.6k),IT Services & Consulting | Bengaluru +47 other locations,5.6k,40.4k,392,16,625,21
120,Ashok Leyland,4.0,(5.5k),Automobile | Chennai +266 other locations,5.5k,19k,325,1,642,15
121,Swiggy,3.7,(5.5k),Internet | Bengaluru +235 other locations,5.5k,23.3k,572,231,339,18
122,Citicorp,3.7,(5.4k),Financial Services | Pune +68 other locations,5.4k,53.1k,629,--,517,6
123,Hero MotoCorp,4.1,(5.4k),Automobile | Gurugram +369 other locations,5.4k,16k,408,1,584,9
124,CGI Group,4.0,(5.3k),IT Services & Consulting | Bengaluru +43 other locations,5.3k,46.2k,560,566,354,5
125,Cyient,3.6,(5.3k),IT Services & Consulting | Hyderabad +49 other locations,5.3k,27.8k,334,74,466,3
126,SBI Cards & Payment Services,3.6,(5.2k),Financial Services | Gurugram +443 other locations,5.2k,16.4k,305,64,344,13
127,BNY,3.6,(5.2k),Financial Services | Pune +26 other locations,5.2k,31.3k,400,27,528,1
128,Kalpataru Projects International,4.2,(5.2k),Engineering & Construction | Mumbai +324 other locations,5.2k,13.8k,332,4,203,21
129,IQVIA,3.7,(5.1k),Clinical Research | Bengaluru +66 other locations,5.1k,31.1k,554,38,524,10
130,NTT DATA,3.8,(5.1k),IT Services & Consulting | Bengaluru +81 other locations,5.1k,36.4k,747,95,156,2
131,JustDial,3.5,(5.1k),Internet | Noida +232 other locations,5.1k,15.2k,393,77,372,9
132,Nagarjuna Construction Company,4.0,(5.1k),Engineering & Construction | Hyderabad +299 other locations,5.1k,12.3k,439,22,408,12
133,SBI Life Insurance Company,3.7,(5.1k),Insurance | Mumbai +657 other locations,5.1k,11.7k,308,4,327,18
134,Schneider Electric,4.1,(5.1k),Industrial Automation | Bengaluru +119 other locations,5.1k,24.9k,455,167,436,13
135,CBRE,4.1,(5k),Real Estate | Hyderabad +91 other locations,5k,18.8k,349,200,443,19
136,TVS Motor,3.9,(5k),Automobile | Hosur +352 other locations,5k,16.1k,401,5,537,12
137,Persistent Systems,3.6,(5k),IT Services & Consulting | Pune +41 other locations,5k,45.4k,710,305,369,33
138,State Bank of India,3.8,(4.9k),Banking | Mumbai +621 other locations,4.9k,11.7k,310,10,400,5
139,vivo,4.1,(4.9k),Consumer Electronics & Appliances | Noida +415 other locations,4.9k,12.9k,239,4,643,3
140,Atos,3.8,(4.9k),IT Services & Consulting | Pune +49 other locations,4.9k,34.1k,409,85,456,10
141,KEC International,4.0,(4.8k),Engineering & Construction | Mumbai +312 other locations,4.8k,13.4k,421,7,441,54
142,Ecom Express,4.0,(4.8k),Logistics | Gurugram +778 other locations,4.8k,9.6k,264,--,323,39
143,Amdocs,3.6,(4.8k),Software Product | Pune +24 other locations,4.8k,37.3k,561,13,614,20
144,JBM Group,3.9,(4.8k),Auto Components | Gurugram +118 other locations,4.8k,13.9k,348,64,342,21
145,ITC Infotech,3.8,(4.8k),IT Services & Consulting | Bengaluru +68 other locations,4.8k,29.7k,416,73,281,11
146,Eviden,3.6,(4.8k),IT Services & Consulting | Pune +39 other locations,4.8k,27.7k,316,1,1,11
147,Varun Beverages,4.0,(4.8k),Beverage | New Delhi +382 other locations,4.8k,12.1k,349,42,321,31
148,Nagarro,3.9,(4.7k),IT Services & Consulting | Gurugram +49 other locations,4.7k,33.1k,836,350,1.1k,19
149,Bosch,4.1,(4.6k),Auto Components | Bengaluru +132 other locations,4.6k,21k,382,--,599,18
150,Randstad,3.7,(4.6k),Recruitment | Hyderabad +359 other locations,4.6k,16.7k,329,6,342,7
151,EY Global Delivery Services ( EY GDS),3.5,(4.6k),IT Services & Consulting | Bengaluru +56 other locations,4.6k,50.4k,888,9,264,16
152,Utkarsh Small Finance Bank,3.6,(4.6k),Banking | Varanasi +407 other locations,4.6k,11.4k,306,19,270,52
153,Hewlett Packard Enterprise,4.1,(4.6k),IT Services & Consulting | Bengaluru +104 other locations,4.6k,27.3k,267,281,546,18
154,Home Credit Finance,4.0,(4.5k),NBFC | Gurugram +138 other locations,4.5k,9.4k,148,101,629,6
155,Aditya Birla Fashion and Retail,4.0,(4.5k),Fashion & Textile | Bengaluru +292 other locations,4.5k,13.2k,268,89,391,14
156,Cars24,3.5,(4.5k),Internet | Gurugram +171 other locations,4.5k,15.5k,407,68,410,17
157,Mahindra Logistics,3.7,(4.5k),Logistics | Mumbai +235 other locations,4.5k,12.9k,252,55,445,24
158,Havells,3.9,(4.5k),Electrical Equipment | Noida +263 other locations,4.5k,14.8k,293,25,315,9
159,L&T Finance,3.9,(4.5k),NBFC | Mumbai +638 other locations,4.5k,11.7k,218,--,261,34
160,Dell,3.8,(4.5k),Consumer Electronics & Appliances | Bengaluru +118 other locations,4.5k,28.9k,425,35,540,25
161,R1 RCM,3.8,(4.5k),BPO | New Delhi +46 other locations,4.5k,21.9k,358,260,335,23
162,Intas Pharmaceuticals,4.1,(4.5k),Pharma | Ahmedabad +150 other locations,4.5k,17.2k,262,47,362,9
163,OPPO,3.9,(4.5k),Consumer Electronics & Appliances | Greater Noida +412 other locations,4.5k,11.8k,251,2,602,10
164,Tata AIA Life Insurance,3.9,(4.4k),Insurance | Mumbai +445 other locations,4.4k,14.6k,254,685,298,23
165,Hetero,3.9,(4.4k),Pharma | Hyderabad +68 other locations,4.4k,15.3k,320,51,332,13
166,Hyundai Motor India Limited,4.1,(4.4k),Automobile | Chennai +286 other locations,4.4k,14.1k,326,--,519,31
167,Deutsche Bank,3.8,(4.4k),Banking | Pune +42 other locations,4.4k,36.7k,426,622,399,79
168,Motilal Oswal Financial Services,3.7,(4.4k),Financial Services | Mumbai +170 other locations,4.4k,13k,547,50,167,90
169,Berger Paints,3.7,(4.3k),Chemicals | Kolkata +358 other locations,4.3k,10.6k,433,99,273,6
170,TeamLease Services,3.9,(4.3k),Recruitment | Bengaluru +401 other locations,4.3k,16.3k,251,2,215,6
171,Lenskart,3.3,(4.3k),Internet | New Delhi +244 other locations,4.3k,13.3k,452,184,199,23
172,VE Commercial Vehicles,3.9,(4.3k),Automobile | Indore +181 other locations,4.3k,14.2k,288,3,340,12
173,Thermax Limited,4.2,(4.2k),Industrial Machinery | Pune +255 other locations,4.2k,13.2k,343,71,371,24
174,Bajaj Auto,3.8,(4.2k),Automobile | Pune +321 other locations,4.2k,14.5k,325,--,496,19
175,Macleods Pharmaceuticals,3.7,(4.2k),Pharma | Mumbai +135 other locations,4.2k,15.7k,270,8,334,3
176,Jubilant Foods Works,3.7,(4.1k),Hospitality | New Delhi +262 other locations,4.1k,9.3k,253,251,180,18
177,Aakash Educational Services,3.2,(4.1k),Education & Training | New Delhi +247 other locations,4.1k,13.8k,373,62,212,25
178,Kogta Financial India Limited,4.7,(4.1k),NBFC | Jaipur +260 other locations,4.1k,1.9k,248,136,31,39
179,LG Electronics,3.9,(4.1k),Consumer Electronics & Appliances | Pune +300 other locations,4.1k,11.1k,261,--,399,18
180,Hindalco Industries,4.2,(4.1k),Metals & Mining | Sambalpur +129 other locations,4.1k,12.7k,304,7,327,10
181,Jindal Steel Limited,3.9,(4.1k),Iron & Steel | Angul +175 other locations,4.1k,15.7k,419,41,328,37
182,Royal Enfield,4.2,(4.1k),Automobile | Chennai +376 other locations,4.1k,14.9k,203,17,396,38
183,State Street Corporation,3.5,(4k),Financial Services | Bengaluru +35 other locations,4k,32.2k,291,7,262,11
184,DCB Bank,3.8,(4k),Banking | Mumbai +344 other locations,4k,9.5k,230,24,248,23
185,Tata Communications,3.9,(4k),Telecom | Pune +102 other locations,4k,23.5k,302,280,426,13
186,HDFC Ergo General Insurance,4.0,(4k),Insurance | Mumbai +328 other locations,4k,12.1k,199,319,273,7
187,John Deere,4.0,(4k),Industrial Machinery | Pune +154 other locations,4k,15.4k,268,2,417,11
188,RBL Bank,3.5,(4k),Banking | Mumbai +288 other locations,4k,18.4k,241,31,221,11
189,Cummins,4.3,(3.9k),Industrial Machinery | Pune +116 other locations,3.9k,15.6k,289,87,458,16
190,Publicis Sapient,3.3,(3.9k),IT Services & Consulting | Bengaluru +46 other locations,3.9k,31.2k,696,208,391,66
191,Bank of America,4.1,(3.9k),Banking | Gurugram +35 other locations,3.9k,28.7k,294,--,414,--
192,Alembic Pharmaceuticals,3.9,(3.9k),Pharma | Vadodara +187 other locations,3.9k,15.5k,255,83,378,9
193,Pidilite Industries,4.2,(3.9k),Chemicals | Mumbai +320 other locations,3.9k,11.6k,257,13,359,1
194,Oyo Rooms,3.0,(3.9k),Internet | Gurugram +121 other locations,3.9k,14.3k,258,176,389,14
195,American Express,4.1,(3.8k),Financial Services | Gurugram +53 other locations,3.8k,25.3k,428,154,435,10
196,Subros,3.8,(3.8k),Auto Components | Noida +89 other locations,3.8k,12.7k,217,1,379,11
197,Grasim Industries,4.0,(3.8k),Building Material | Bharuch +247 other locations,3.8k,12.7k,277,6,267,11
198,Aditya Birla Sun Life Insurance,4.0,(3.8k),Insurance | Mumbai +495 other locations,3.8k,10.1k,182,1,214,23
199,Reliance Communications,4.0,(3.8k),Telecom | Mumbai +468 other locations,3.8k,9.4k,106,--,375,1
200,Carelon Global Solutions,3.9,(4.1k),IT Services & Consulting | Bengaluru +21 other locations,4.1k,28.4k,422,51,7,9
201,XpressBees,4.2,(3.8k),Logistics | Pune +478 other locations,3.8k,8.1k,443,12,176,23
202,Altruist Technologies,4.4,(3.8k),BPO | Bengaluru +43 other locations,3.8k,8.3k,720,6,83,6
203,Kyndryl,4.0,(3.8k),IT Services & Consulting | Bengaluru +37 other locations,3.8k,26.6k,227,5,163,59
204,ADP Private Limited,3.9,(3.8k),Software Product | Hyderabad +41 other locations,3.8k,22.1k,292,63,457,16
205,PNB MetLife,3.3,(3.8k),Insurance | New Delhi +425 other locations,3.8k,8.2k,193,13,217,18
206,Viatris,4.1,(3.8k),Pharma | Hyderabad +80 other locations,3.8k,14.3k,165,11,500,13
207,PVR INOX,3.9,(3.8k),Media & Entertainment | New Delhi +149 other locations,3.8k,9.5k,215,14,242,5
208,Aditya Birla Capital,3.8,(3.8k),NBFC | Mumbai +342 other locations,3.8k,14.1k,261,1,212,30
209,Escorts Kubota Limited,4.1,(3.7k),Automobile | Faridabad +158 other locations,3.7k,13.4k,298,3,255,26
210,Maersk,4.0,(3.7k),Logistics | Chennai +49 other locations,3.7k,19.1k,250,44,421,26
211,Cloudnine Hospital,4.4,(3.7k),Healthcare | Bengaluru +46 other locations,3.7k,3k,1.2k,14,78,5
212,Synechron,3.4,(3.7k),IT Services & Consulting | Pune +33 other locations,3.7k,28.3k,406,175,239,10
213,KPIT Technologies,2.9,(3.7k),Software Product | Pune +43 other locations,3.7k,23.4k,344,55,290,17
214,Birlasoft,3.5,(3.7k),IT Services & Consulting | Pune +50 other locations,3.7k,29.9k,315,510,235,8
215,JK Cement,4.0,(3.7k),Building Material | New Delhi +332 other locations,3.7k,10.1k,339,2,257,28
216,Glenmark Pharmaceuticals,3.8,(3.7k),Pharma | Mumbai +187 other locations,3.7k,12.2k,181,32,317,1
217,Dabur,3.8,(3.7k),FMCG | New Delhi +321 other locations,3.7k,8.8k,331,17,276,5
218,Sodexo,4.0,(3.6k),Facility Management Services | Mumbai +160 other locations,3.6k,9.9k,203,349,364,22
219,Kotak Mahindra Life Insurance Company,3.5,(3.6k),Insurance | Mumbai +257 other locations,3.6k,12.5k,261,163,256,6
220,Bharat Electronics,4.2,(3.6k),Electronics Manufacturing | Bengaluru +87 other locations,3.6k,12.5k,245,2,312,1
221,Godrej & Boyce Manufacturing,3.9,(3.6k),Consumer Electronics & Appliances | Mumbai +168 other locations,3.6k,15.1k,229,48,412,3
222,Cogent E Services,3.1,(3.6k),BPO | Noida +56 other locations,3.6k,10.3k,295,2,220,13
223,Samvardhana Motherson Group,3.7,(3.6k),Auto Components | Noida +94 other locations,3.6k,12.1k,259,21,403,11
224,Abbott,4.1,(3.6k),Pharma | Mumbai +214 other locations,3.6k,11.8k,183,207,361,8
225,Ipca Laboratories,3.8,(3.6k),Pharma | Mumbai +161 other locations,3.6k,11.5k,209,48,245,4
226,Aarti Industries,4.1,(3.6k),Agro Chemicals | Bharuch +58 other locations,3.6k,14.4k,332,40,351,6
227,PhonePe,4.0,(3.5k),FinTech | Bengaluru +398 other locations,3.5k,13.3k,419,67,183,11
228,Reliance Projects & Property Management Services,4.0,(3.5k),Other | Kolkata +620 other locations,3.5k,7.3k,212,--,20,6
229,Indian Oil Corporation,4.3,(3.5k),Oil & Gas | New Delhi +314 other locations,3.5k,7.8k,238,--,291,32
230,Reliance Digital,4.1,(3.5k),Retail | Mumbai +379 other locations,3.5k,7.9k,170,1,241,27
231,MRF Tyres,3.6,(3.5k),Auto Components | Chennai +194 other locations,3.5k,12.7k,376,24,345,9
232,Alkem Laboratories,3.9,(3.5k),Pharma | Mumbai +200 other locations,3.5k,9.9k,197,19,328,2
233,Johnson Controls,3.5,(3.5k),Industrial Automation | Pune +57 other locations,3.5k,17.7k,303,3,266,28
234,IGT Solutions,3.2,(3.5k),BPO | New Delhi +47 other locations,3.5k,13.5k,255,112,213,14
235,UNO Minda,4.0,(3.5k),Auto Components | Pune +110 other locations,3.5k,11.4k,259,12,279,5
236,"NTT DATA, Inc.",3.9,(3.5k),IT Services & Consulting | Bengaluru +36 other locations,3.5k,21.2k,153,89,624,7
237,Honda Motorcycle & Scooter,4.1,(3.5k),Automobile | Gurugram +300 other locations,3.5k,11.1k,203,1,348,4
238,ArcelorMittal Nippon Steel,4.1,(3.4k),Iron & Steel | Surat +86 other locations,3.4k,11.9k,275,6,111,6
239,Blinkit,3.8,(3.4k),Internet | Gurugram +150 other locations,3.4k,13.1k,344,1,203,27
240,Vishal Mega Mart,3.8,(3.4k),Retail | New Delhi +377 other locations,3.4k,6.2k,212,4,273,12
241,[24]7.ai,3.4,(3.4k),Software Product | Bengaluru +36 other locations,3.4k,11.6k,187,92,406,10
